name,position,team,byeWeek,value
Patrick Mahomes II,QB,KC,10,82
Josh Allen,QB,BUF,13,76
Christian McCaffrey,RB,SF,9,73
Jalen Hurts,QB,PHI,10,72
Austin Ekeler,RB,LAC,5,71
Justin Jefferson,WR,MIN,13,66
Joe Burrow,QB,CIN,7,65
Bijan Robinson,RB,ATL,11,64
Ja'Marr Chase,WR,CIN,7,62
Lamar Jackson,QB,BAL,13,61
Tyreek Hill,WR,MIA,10,60
Cooper Kupp,WR,LAR,10,59
Saquon Barkley,RB,NYG,13,56
Travis Kelce,TE,KC,10,56
Josh Jacobs,RB,LV,13,55
Justin Herbert,QB,LAC,5,54
Tony Pollard,RB,DAL,7,54
Derrick Henry,RB,TEN,7,53
Nick Chubb,RB,CLE,5,52
Joe Mixon,RB,CIN,7,51
Rhamondre Stevenson,RB,NE,11,51
CeeDee Lamb,WR,DAL,7,51
Stefon Diggs,WR,BUF,13,50
Aaron Jones,RB,GB,6,49
Justin Fields,QB,CHI,13,48
Deshaun Watson,QB,CLE,5,48
Kirk Cousins,QB,MIN,13,47
Jonathan Taylor,RB,IND,11,47
Davante Adams,WR,LV,13,47
Dak Prescott,QB,DAL,7,45
Trevor Lawrence,QB,JAC,9,45
Breece Hall,RB,NYJ,7,45
Najee Harris,RB,PIT,6,44
Amon-Ra St. Brown,WR,DET,9,43
Geno Smith,QB,SEA,5,41
Aaron Rodgers,QB,NYJ,7,41
Travis Etienne Jr.,RB,JAC,9,41
Daniel Jones,QB,NYG,13,40
A.J. Brown,WR,PHI,10,40
Jared Goff,QB,DET,9,39
James Conner,RB,ARI,14,39
Jahmyr Gibbs,RB,DET,9,38
Alexander Mattison,RB,MIN,13,37
Kenneth Walker III,RB,SEA,5,36
Jaylen Waddle,WR,MIA,10,36
Russell Wilson,QB,DEN,9,35
Tua Tagovailoa,QB,MIA,10,35
Rachaad White,RB,TB,5,35
Dameon Pierce,RB,HOU,7,35
Garrett Wilson,WR,NYJ,7,33
Miles Sanders,RB,CAR,7,32
Tee Higgins,WR,CIN,7,30
DeVonta Smith,WR,PHI,10,30
Chris Olave,WR,NO,11,30
Isiah Pacheco,RB,KC,10,29
David Montgomery,RB,DET,9,29
Cam Akers,RB,LAR,10,29
Amari Cooper,WR,CLE,5,29
Keenan Allen,WR,LAC,5,29
DK Metcalf,WR,SEA,5,29
Mark Andrews,TE,BAL,13,29
J.K. Dobbins,RB,BAL,13,28
Deebo Samuel,WR,SF,9,28
T.J. Hockenson,TE,MIN,13,28
Javonte Williams,RB,DEN,9,27
Alvin Kamara,RB,NO,11,27
D'Andre Swift,RB,PHI,10,27
James Cook,RB,BUF,13,27
Calvin Ridley,WR,JAC,9,26
Chris Godwin,WR,TB,5,25
Jerry Jeudy,WR,DEN,9,25
Christian Watson,WR,GB,6,25
Derek Carr,QB,NO,11,24
Matthew Stafford,QB,LAR,10,24
Christian Kirk,WR,JAC,9,23
Anthony Richardson,QB,IND,11,22
Jordan Love,QB,GB,6,22
Terry McLaurin,WR,WAS,14,22
DeAndre Hopkins,WR,TEN,7,22
Mike Williams,WR,LAC,5,22
Brock Purdy,QB,SF,9,21
Antonio Gibson,RB,WAS,14,21
AJ Dillon,RB,GB,6,21
George Kittle,TE,SF,9,21
Mike Evans,WR,TB,5,20
Kenny Pickett,QB,PIT,6,19
Drake London,WR,ATL,11,19
Marquise Brown,WR,ARI,14,19
Darren Waller,TE,NYG,13,19
Dallas Goedert,TE,PHI,10,18
Bryce Young,QB,CAR,7,17
Dalvin Cook,RB,,,17
Brian Robinson Jr.,RB,WAS,14,17
DJ Moore,WR,CHI,13,17
Diontae Johnson,WR,PIT,6,17
Samaje Perine,RB,DEN,9,16
Tyler Lockett,WR,SEA,5,16
Brandin Cooks,WR,DAL,7,15
Kyle Pitts,TE,ATL,11,15
Khalil Herbert,RB,CHI,13,14
Jeff Wilson Jr.,RB,MIA,10,14
Michael Pittman Jr.,WR,IND,11,14
Brandon Aiyuk,WR,SF,9,14
Jimmy Garoppolo,QB,LV,13,13
Evan Engram,TE,JAC,9,12
Rashaad Penny,RB,PHI,10,11
Jamaal Williams,RB,NO,11,11
